t_valid,Za_v,Za_a,Ra,Xa,Zb_v,Zb_a,Rb,Xb,Zc_v,Zc_a,Rc,Xc
0.523,564.054710395581,-155.959301379322,-515.126524592643,-229.7876845711,529.354014870308,-148.172272380055,-449.759063842341,-279.163854305989,623.522398084134,-149.852249442666,-539.18049293359,-313.152641618238
0.524,535.722733494992,-154.475575904816,-483.437096702439,-230.840682539415,563.547712434678,-145.808050999806,-466.143871134761,-316.695304028743,616.766987697487,-153.531811404085,-552.118680175803,-274.893579616479
0.525,522.19111834362,-151.19283742522,-457.568113107658,-251.624692635795,606.256097933351,-147.036545618498,-508.659651842226,-329.866359104892,589.459938115354,-155.693303631764,-537.207365183973,-242.634015412205
0.526,534.588526691514,-147.403497487978,-450.382966439128,-287.993188134189,624.858303716436,-150.720442969802,-545.02879827544,-305.600243412553,557.096751370791,-155.819637080622,-508.217392274835,-228.192621653847
0.527,573.412747808655,-145.747939457939,-473.96549301035,-322.736565614942,612.032084507853,-154.165851188599,-550.865114337131,-266.70376501536,531.091478230486,-153.892337365724,-476.903540782449,-233.711726360075
0.528,613.158157886985,-147.742208614298,-518.520415381171,-327.260607797974,582.357884562577,-155.895979313125,-531.579492059008,-237.831766874164,522.448586112363,-150.331551262544,-453.95778049485,-258.60173754056
0.529,624.192735321635,-151.590199383587,-549.019458363707,-296.975091828131,550.44418930715,-155.559511378533,-501.119716218573,-227.745110944281,541.465949626208,-146.76852053466,-452.916419330659,-296.735727045643
0.53,606.128029066051,-154.727352475036,-548.113371724473,-258.771944685519,527.262193150861,-153.204817994227,-470.646745288771,-237.691105166648,583.539764919354,-145.909148421405,-483.258363731706,-327.077989362612
0.531,574.913772242777,-156.006301002964,-525.235577971621,-233.780737331451,524.070598325204,-149.443242238148,-451.290799855305,-266.433117301315,618.649800754494,-148.556891495864,-527.806370506003,-322.719710006773
0.532,544.082529553916,-155.206741984227,-493.932717573863,-228.158430648282,549.566186972673,-146.253148913937,-456.96436392659,-305.29750075107,622.227636035553,-152.423154618415,-551.536812302013,-288.05273080137
0.533,524.328356655216,-152.451288302208,-464.878929268826,-242.503209699645,593.266271397054,-146.233992579721,-493.190772749148,-329.738882227227,599.820589182906,-155.196126193544,-544.486610200447,-251.632808910434
0.534,527.059437462051,-148.585874763872,-449.804290982726,-274.713942913971,622.441005988078,-149.402917909186,-535.77726865949,-316.820965725482,567.686342220912,-156.016948101492,-518.675556528156,-230.745422932649
0.535,558.501529885444,-145.90772461721,-462.515174055306,-313.055382724801,618.996061469178,-153.169972758597,-552.360765656311,-279.380938286649,538.378773493715,-154.759433921732,-486.977258764104,-229.575375846792
0.536,601.989353548529,-146.725054220037,-503.291608216283,-330.285844208987,593.110696363314,-155.543170450665,-539.892931682699,-245.552276429351,522.611033114044,-151.640378030667,-459.889107408161,-248.242423489324
0.537,624.270221743715,-150.27397521695,-542.120242482345,-309.546365584917,560.661399377521,-155.90225339455,-511.799890636225,-228.914998846097,531.715434188534,-147.793676894389,-449.902695033699,-283.388193042187
0.538,614.37645025105,-153.849546196229,-551.488768550138,-270.774003157862,533.396143275216,-154.194863980169,-480.205748369979,-232.193636633959,568.352111451137,-145.771700517386,-469.91514535634,-319.693413688326
0.539,585.766823253997,-155.8001481779,-534.290323869215,-240.117931535337,522.202577855328,-150.762993725863,-455.67751820629,-255.055938413726,609.767024557208,-147.39354540771,-513.662678614693,-328.582526674395
0.54,553.559938813439,-155.695513919289,-504.498504640551,-227.83736452695,537.889640810096,-147.065905784389,-451.448891042961,-292.436599055069,624.589220441508,-151.173020480778,-547.189958126473,-301.155846726043
0.541,528.925475346681,-153.552083178555,-473.567921329842,-235.575003678329,578.527335274364,-145.797380204207,-478.473851614108,-325.202476898957,609.078494540642,-154.466432944689,-549.591571686325,-262.537077082933
0.542,522.964930116083,-149.880671170489,-452.355348367168,-262.425145393762,616.158117464102,-148.131677286071,-523.280733170031,-325.312311494571,578.603792183236,-155.969375800673,-528.455003358117,-235.621853304389
0.543,545.250980618609,-146.48424787966,-454.594307533961,-301.069173817702,623.451425939683,-152.00372514596,-550.493964362197,-292.656924925784,547.191292285763,-155.400616339847,-497.528531795583,-227.779872690049
0.544,588.340378994806,-146.036397834313,-487.965179728719,-328.685845341825,603.124546361251,-154.963771402087,-546.455193676373,-255.237026560768,525.643532227531,-152.841597859452,-467.690281992219,-239.931079901445
0.545,620.646829655685,-148.957585876218,-531.761390863607,-320.050480937704,571.384650008093,-156.014218790937,-522.043509750888,-232.273528822905,525.347690859298,-149.014378742697,-450.37875021666,-270.46104644565
0.546,620.66889665534,-152.788488428601,-551.976067101982,-283.817371952432,541.265241715486,-154.984866672586,-490.492467773035,-228.878135581452,553.906974527644,-146.06519185348,-459.561823263938,-309.21815442935
